# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
18665	ntdb.su
18668	ponyexpress.ru
18695	szimc.ru
18743	lotus-dsp.ru
18749	fortum.ru
18750	krebson.ru
18775	proxit.ru
18804	keydisk.ru
18829	vl.ru
18853	sdamgia.ru
18877	ng.ru
18881	netcraze.ru
18885	v2z.ru
18946	tatneft.ru
18974	2ip.ru
18981	trashbox.ru
19004	tatar.ru
19022	naukanet.ru
19040	np-sr.ru
19043	burgerkingrus.ru
19087	flexbe.ru
19089	polymetal.ru
19105	3d-galleru.ru
19124	docdoc.ru
19219	onetarget.ru
19233	my-ihor.ru
19239	fc-zenit.ru
19326	video-mech.ru
19357	sblogistica.ru
19358	global-hotspot.ru
19418	gpmdata.ru
19422	misp.ru
19440	rudn.ru
19446	ru-tld.ru
19501	bnovo.ru
19534	izbirkom.ru
19566	sravni.ru
19572	xn--b1aew.xn--p1ai
19578	1c-cabinet.ru
19583	youla.ru
19605	freedom1.ru
19625	railsc.ru
19715	roseltorg.ru
19728	wfolio.ru
19776	nethouse.ru
19823	rmrp.ru
19848	mtt.ru
19850	ctc.ru
19880	slweb.ru
19896	taximaxim.ru
19906	kodakbot.ru
19927	astrum-play.ru
19937	ttk.ru
19951	business-gazeta.ru
19967	aladdin-rd.ru
19974	inosmi.ru
19985	np-internal.ru
20011	metcom.ru
20100	invitro.ru
20114	lmcdn.ru
20152	inmyroom.ru
20182	pstu.ru
20186	informatic.ru
20189	nornik.ru
20212	tripadvisor.ru
20245	fabrikant.ru
20254	ntelecom.ru
20270	c2dns.ru
20272	mvd.ru
20277	sitnet.ru
20323	wildred.ru
20336	sfn-am.ru
20374	my1.ru
20387	cyberprotect.ru
20389	apteka-aprel.ru
20439	yar.ru
20450	maksavit.ru
20464	vkcloud-storage.ru
20470	rocketnetwork.ru
20473	hydrahd.ru
20499	3dn.ru
20534	adlooxtracking.ru
20537	vimpelcom.ru
20557	tsu.ru
20596	mosmetro.ru
20630	joom.ru
20692	forum24.ru
20720	pushed.ru
20790	megamarket.ru
20792	overclockers.ru
20795	rudesktop.ru
20831	kassir.ru
20846	registrant.ru
20862	isnet.ru
20942	konkurent.ru
20960	rsnx.ru
20984	centre.ru
21000	sigmaparking.ru
21092	cardsmobile.ru
21095	ad-cdek.ru
21115	inappstory.ru
21160	otdelit.ru
21207	mecom.ru
21223	perm.ru
21236	pelotalibretv.su
21251	svoevse.ru
21263	mangahub.ru
21269	gdz.ru
21346	rqch.ru
21358	lifehacker.ru
21361	ruwiki.ru
21389	rabota.ru
21402	sipnet.ru
21403	lipetsknews.ru
21432	domengood.ru
21493	expf.ru
21506	5mod.ru
21541	netexpert.ru
21547	top100.ru
21566	kubtel.ru
21643	tinkoffinsurance.ru
21726	taxsee.ru
21737	bget.ru
21790	secret-folder.ru
21811	esphere.ru
21824	novayagazeta.ru
21878	so-ups.ru
21900	t1.ru
21921	csat.ru
21938	prochepetsk.ru
21965	progoroduhta.ru
21993	nomerogram.ru
22007	twcstorage.ru
22058	infobox.ru
22093	rarus.ru
22121	cb-24.ru
22209	1-ofd.ru
22247	alfastrah.ru
22256	ozna.ru
22282	start.ru
22359	ateve.ru
22373	tpserv.ru
22412	rgs.ru
22670	rossko.ru
22747	fcdm.ru
22841	payanyway.ru
22871	unicomics.ru
23031	fvds.ru
23089	gazprom.ru
23203	regrucolo.ru
23229	rusklimat.ru
23249	igooods.ru
23350	vuzopedia.ru
23357	t817smgn6zs.ru
23404	gameinstaller.ru
23507	solidinvest.ru
23510	callibri.ru
23557	edinos.ru
23696	legendsgame.ru
23852	sputniknews.ru
23875	is-mis.ru
